algorithm,port,run_id,rtt_seconds
RSA-2048,4433,1,0.004264874994987622
RSA-2048,4433,2,0.0012285409902688116
ECDSA-P256,4434,1,0.0016042920178733766
ECDSA-P256,4434,2,0.00082712501171045
