algo,depth,mean,std,median,cv,status
ec256,1,0.4719595896312967,0.04555402706367585,0.46902100439183414,0.09652103286907143,OK
ec256,2,0.5624746278044768,0.08823895714466368,0.5290624831104651,0.15687633322962372,Borderline
ec256,3,0.6191425089491531,0.10290484177507575,0.5816044867970049,0.1662054216721966,Borderline
ec256,4,0.646237159089651,0.1034670691699712,0.6138124881545082,0.16010696338744188,Borderline
ec384,1,0.9219867314095609,0.10243422787180834,0.8765835082158446,0.11110162910392846,OK
ec384,2,1.1420346202794462,0.17846309639492802,1.087332988390699,0.15626767632601157,Borderline
ec384,3,1.5016521216602996,0.6773564980650448,1.3060835044598207,0.4510741790955728,High Variability
ec384,4,1.5546704299049452,0.09047515341880737,1.5159369941102343,0.058195712530751065,OK
rsa2048,1,0.7485758190159686,0.08678594198876664,0.7211250194814056,0.11593473871871798,OK
rsa2048,2,0.9641216401359998,0.6226610228326918,0.7346665079239756,0.6458324312115417,High Variability
rsa2048,3,0.8745603999705054,0.10717362589049016,0.8511040068697184,0.12254571084410476,OK
rsa2048,4,0.8419458006392233,0.3625349570237133,0.7769790099700913,0.43059179907835987,High Variability
rsa4096,1,2.4757678699097596,0.12337344520824342,2.4471454962622374,0.04983239612554642,OK
rsa4096,2,2.7685486906557344,1.220553020329188,2.5478960014879704,0.4408638448183111,High Variability
rsa4096,3,2.5518149891286157,0.11996498566320131,2.5342915032524616,0.04701163139737121,OK
rsa4096,4,3.237495859793853,2.051121885753213,2.8572914889082313,0.6335519718267124,High Variability
