algo,depth,median_ms,p95_ms,clean_median_ms,std_ms
rsa2048,1,0.7211250194814056,0.8968104652012698,0.7170830212999135,0.08635092199628679
rsa2048,2,0.7346665079239756,2.7177729483810253,0.7292079972103238,0.6195398952944865
rsa2048,3,0.8511040068697184,1.0964857647195458,0.8441669924650341,0.10663641135020262
rsa2048,4,0.7769790099700913,1.0383214495959692,0.7660830160602927,0.3607177277505832
rsa4096,1,2.4471454962622374,2.6186044386122376,2.4435830127913505,0.12275502805476417
rsa4096,2,2.5478960014879704,3.096587503387127,2.543500013416633,1.2144349215500831
rsa4096,3,2.5342915032524616,2.6887941086897627,2.531542006181553,0.11936365362756109
rsa4096,4,2.8572914889082313,4.506510746432468,2.845666982466355,2.040840508298887
ec256,1,0.46902100439183414,0.5363901742384769,0.46595800085924566,0.04532568463797247
ec256,2,0.5290624831104651,0.7500999985495581,0.5281249759718776,0.08779665382232961
ec256,3,0.5816044867970049,0.8582860536989756,0.5803749954793602,0.10238902478364488
ec256,4,0.6138124881545082,0.8589860270149073,0.6127079832367599,0.10294843397836312
ec384,1,0.8765835082158446,1.1566249842871912,0.8746669918764383,0.1019207698621662
ec384,2,1.087332988390699,1.3400315554463305,1.0815839923452586,0.17756853890010102
ec384,3,1.3060835044598207,2.3620333377039033,1.2972500117029995,0.6739612060172541
ec384,4,1.515936994110234,1.7425312340492383,1.5140829782467335,0.09002164102200748
