algo,depth,run_id,handshake_ms,timestamp,cert_bytes
rsa2048,1,80,0.6869590142741799,2026-04-27T14:26:58,1127
rsa2048,1,81,0.6843330047558993,2026-04-27T14:26:58,1127
rsa2048,1,82,0.6914579716976732,2026-04-27T14:26:58,1127
rsa2048,1,83,0.6730419991072267,2026-04-27T14:26:58,1127
rsa2048,1,84,0.6800830014981329,2026-04-27T14:26:58,1127
rsa2048,1,85,0.6658750062342733,2026-04-27T14:26:58,1127
rsa2048,1,86,0.7088749844115227,2026-04-27T14:26:58,1127
rsa2048,1,87,0.6680829974357039,2026-04-27T14:26:58,1127
rsa2048,1,88,0.6757079972885549,2026-04-27T14:26:58,1127
rsa2048,1,89,0.6802080024499446,2026-04-27T14:26:58,1127
rsa2048,1,90,0.8333339937962592,2026-04-27T14:26:58,1127
rsa2048,1,91,0.6888329808134586,2026-04-27T14:26:58,1127
rsa2048,1,92,0.67254199529998,2026-04-27T14:26:58,1127
rsa2048,1,93,0.7243339787237346,2026-04-27T14:26:58,1127
rsa2048,1,94,0.7327079947572201,2026-04-27T14:26:58,1127
rsa2048,1,95,0.7297499978449196,2026-04-27T14:26:58,1127
rsa2048,1,96,0.8671249961480498,2026-04-27T14:26:58,1127
rsa2048,1,97,0.7576249772682786,2026-04-27T14:26:58,1127
rsa2048,1,98,0.7432909915223718,2026-04-27T14:26:58,1127
rsa2048,1,99,0.7202079868875444,2026-04-27T14:26:58,1127
rsa2048,1,100,0.7067080005072057,2026-04-27T14:26:58,1127
rsa2048,2,1,1.0757080162875354,2026-04-27T14:27:00,2278
rsa2048,2,2,1.0609579912852496,2026-04-27T14:27:00,2278
rsa2048,2,3,1.067500008502975,2026-04-27T14:27:00,2278
rsa2048,2,4,0.9966250217985362,2026-04-27T14:27:00,2278
rsa2048,2,5,0.9915840055327863,2026-04-27T14:27:00,2278
rsa2048,2,6,1.0641250119078904,2026-04-27T14:27:00,2278
rsa2048,2,7,1.1473750055301934,2026-04-27T14:27:00,2278
rsa2048,2,8,1.0100420040544122,2026-04-27T14:27:00,2278
rsa2048,2,9,1.009790983516723,2026-04-27T14:27:00,2278
rsa2048,2,10,0.9768750169314444,2026-04-27T14:27:00,2278
rsa2048,2,11,0.9833330113906413,2026-04-27T14:27:00,2278
rsa2048,2,12,0.9524579800199717,2026-04-27T14:27:00,2278
rsa2048,2,13,1.1063329875469208,2026-04-27T14:27:00,2278
rsa2048,2,14,0.8925000147428364,2026-04-27T14:27:00,2278
rsa2048,2,15,0.8883340051397681,2026-04-27T14:27:00,2278
rsa2048,2,16,0.9055830014403909,2026-04-27T14:27:00,2278
